CookerStat, GenerateAssetRegistry=0.018027, Initialize=0.092845, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_0, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=4.511546, FlushAsyncLoading=0.011116, FlushStreamingFunc=0.045974, BlockTillAllRequestsFinished=0.006009, ResetLoadersForSaveUnMarkAllObjects=0.190198, TagPackageExports=2.146553, BeginCacheForCookedPlatformData=0.003606, SerializeImports=1.883339, GatherLocalizableTextData=3.676847, MarkNames=0.031248, SerializeSummary=0.014722, SerializeNames=0.105765, SerializeGatherableTextData=0.115380, BuildExportMap=0.094049, SortExportsNonSeekfree=0.134010, SortExportsSeekfreeConstructor=0.051077, SortExportsSeekfreeInner=5.126010, SortExportsSeekfree=0.005107, BuildDependencyMap=0.030044, SerializeImportMap=0.010218, SerializeExportMap=0.013821, SerializeDependencyMap=0.003006, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.459489, SerializeExports=2.134834, SerializeBulkData=0.010516, MoveFile=2.945199, UnaccountedTime=0.896901, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_1, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=0.734650, FlushAsyncLoading=0.002403, FlushStreamingFunc=0.030346, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.100356, TagPackageExports=1.277596, BeginCacheForCookedPlatformData=0.001505, SerializeImports=1.636054, GatherLocalizableTextData=1.527585, MarkNames=0.030048, SerializeSummary=0.011116, SerializeNames=0.100657, SerializeGatherableTextData=0.093147, BuildExportMap=0.093143, SortExportsNonSeekfree=0.141222, SortExportsSeekfreeConstructor=0.047173, SortExportsSeekfreeInner=3.470723, SortExportsSeekfree=0.003304, BuildDependencyMap=0.024639, SerializeImportMap=0.009313, SerializeExportMap=0.013519, SerializeDependencyMap=0.004206, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.056260, SerializeExports=2.031475, SerializeBulkData=0.003606, MoveFile=2.949409, UnaccountedTime=0.707906, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_2, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=4.223697, FlushAsyncLoading=0.010218, FlushStreamingFunc=0.043567, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.127699, TagPackageExports=2.231889, BeginCacheForCookedPlatformData=0.002403, SerializeImports=2.646234, GatherLocalizableTextData=2.998386, MarkNames=0.036053, SerializeSummary=0.012320, SerializeNames=0.108771, SerializeGatherableTextData=0.101257, BuildExportMap=0.103362, SortExportsNonSeekfree=0.288449, SortExportsSeekfreeConstructor=0.052884, SortExportsSeekfreeInner=4.827943, SortExportsSeekfree=0.006009, BuildDependencyMap=0.044771, SerializeImportMap=0.010215, SerializeExportMap=0.019230, SerializeDependencyMap=0.003904, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.228130, SerializeExports=3.368560, SerializeBulkData=0.003908, MoveFile=2.843942, UnaccountedTime=0.753280, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_3, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=0.776414, FlushAsyncLoading=0.003908, FlushStreamingFunc=0.038758, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.118684, TagPackageExports=2.096977, BeginCacheForCookedPlatformData=0.001803, SerializeImports=2.504110, GatherLocalizableTextData=2.922665, MarkNames=0.024341, SerializeSummary=0.008412, SerializeNames=0.094045, SerializeGatherableTextData=0.072714, BuildExportMap=0.089239, SortExportsNonSeekfree=0.248190, SortExportsSeekfreeConstructor=0.039961, SortExportsSeekfreeInner=4.161201, SortExportsSeekfree=0.002705, BuildDependencyMap=0.031549, SerializeImportMap=0.010215, SerializeExportMap=0.019833, SerializeDependencyMap=0.006013, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.188769, SerializeExports=3.274813, SerializeBulkData=0.004809, MoveFile=2.930477, UnaccountedTime=0.821482, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_4, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=0.770103, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.035156, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.108168, TagPackageExports=2.075944, BeginCacheForCookedPlatformData=0.001803, SerializeImports=2.508920, GatherLocalizableTextData=2.948806, MarkNames=0.034854, SerializeSummary=0.011120, SerializeNames=0.094946, SerializeGatherableTextData=0.087436, BuildExportMap=0.102762, SortExportsNonSeekfree=0.248488, SortExportsSeekfreeConstructor=0.047773, SortExportsSeekfreeInner=4.300621, SortExportsSeekfree=0.003606, BuildDependencyMap=0.033952, SerializeImportMap=0.011720, SerializeExportMap=0.018630, SerializeDependencyMap=0.006009, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.190270, SerializeExports=3.135100, SerializeBulkData=0.005707, MoveFile=2.870083, UnaccountedTime=1.040526, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_5, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Saved/Autosaves/Game/Maps/FirstLevel_Auto1.umap, AutoPackageBackupDelegate=3.893182, FlushAsyncLoading=0.011120, FlushStreamingFunc=14.349517, BlockTillAllRequestsFinished=0.008713, ResetLoadersForSaveUnMarkAllObjects=42.309093, TagPackageExports=1.156505, BeginCacheForCookedPlatformData=0.001501, SerializeImports=1.592189, GatherLocalizableTextData=5.864862, MarkNames=0.049274, SerializeSummary=0.011120, SerializeNames=0.293557, SerializeGatherableTextData=0.043567, BuildExportMap=0.211231, SortExportsNonSeekfree=0.203419, SortExportsSeekfreeConstructor=0.043865, SortExportsSeekfreeInner=8.109972, SortExportsSeekfree=0.003904, BuildDependencyMap=0.065502, SerializeImportMap=0.020731, SerializeExportMap=0.019532, SerializeDependencyMap=0.005111, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.641804, SerializeExports=2.688300, SerializeBulkData=0.751473, MoveFile=2.783548, UnaccountedTime=0.142422, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_6, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=3.614645, FlushAsyncLoading=0.009615, FlushStreamingFunc=0.030648, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.163455, TagPackageExports=1.109935, BeginCacheForCookedPlatformData=0.001803, SerializeImports=1.477107, GatherLocalizableTextData=3.525406, MarkNames=0.027645, SerializeSummary=0.010215, SerializeNames=0.098854, SerializeGatherableTextData=0.099756, BuildExportMap=0.092845, SortExportsNonSeekfree=0.115681, SortExportsSeekfreeConstructor=0.046574, SortExportsSeekfreeInner=3.185574, SortExportsSeekfree=0.004206, BuildDependencyMap=0.025243, SerializeImportMap=0.009015, SerializeExportMap=0.011418, SerializeDependencyMap=0.002705, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.467603, SerializeExports=1.788393, SerializeBulkData=0.004206, MoveFile=2.849050, UnaccountedTime=0.747267, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_7, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=0.783928, FlushAsyncLoading=0.003003, FlushStreamingFunc=0.019532, BlockTillAllRequestsFinished=0.002105, ResetLoadersForSaveUnMarkAllObjects=0.094045, TagPackageExports=1.756545, BeginCacheForCookedPlatformData=0.002705, SerializeImports=1.573257, GatherLocalizableTextData=3.590006, MarkNames=0.021335, SerializeSummary=0.010215, SerializeNames=0.093147, SerializeGatherableTextData=0.101559, BuildExportMap=0.075419, SortExportsNonSeekfree=0.110570, SortExportsSeekfreeConstructor=0.039965, SortExportsSeekfreeInner=3.125481, SortExportsSeekfree=0.003304, BuildDependencyMap=0.021633, SerializeImportMap=0.009015, SerializeExportMap=0.011418, SerializeDependencyMap=0.002403, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.422531, SerializeExports=1.978591, SerializeBulkData=0.003908, MoveFile=4.375435, UnaccountedTime=0.752974, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_8, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=0.756282, FlushAsyncLoading=0.002705, FlushStreamingFunc=0.034254, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.106666, TagPackageExports=1.754142, BeginCacheForCookedPlatformData=0.001200, SerializeImports=2.106890, GatherLocalizableTextData=4.714366, MarkNames=0.025541, SerializeSummary=0.011418, SerializeNames=0.103060, SerializeGatherableTextData=0.105467, BuildExportMap=0.091642, SortExportsNonSeekfree=0.209127, SortExportsSeekfreeConstructor=0.042967, SortExportsSeekfreeInner=3.845706, SortExportsSeekfree=0.003908, BuildDependencyMap=0.034552, SerializeImportMap=0.010516, SerializeExportMap=0.017427, SerializeDependencyMap=0.003308, SerializeStringAssetReferenceMap=0.000902, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.151207, SerializeExports=2.788659, SerializeBulkData=0.003904, MoveFile=2.884205, UnaccountedTime=0.770103, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_9, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=3.500771, FlushAsyncLoading=0.008713, FlushStreamingFunc=0.055585, BlockTillAllRequestsFinished=0.005711, ResetLoadersForSaveUnMarkAllObjects=0.164356, TagPackageExports=1.811530, BeginCacheForCookedPlatformData=0.002105, SerializeImports=2.201840, GatherLocalizableTextData=4.714962, MarkNames=0.027645, SerializeSummary=0.009313, SerializeNames=0.108469, SerializeGatherableTextData=0.109073, BuildExportMap=0.091642, SortExportsNonSeekfree=0.209127, SortExportsSeekfreeConstructor=0.041764, SortExportsSeekfreeInner=3.750458, SortExportsSeekfree=0.003006, BuildDependencyMap=0.030346, SerializeImportMap=0.009615, SerializeExportMap=0.017725, SerializeDependencyMap=0.003304, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.376259, SerializeExports=2.902534, SerializeBulkData=0.004809, MoveFile=2.839439, UnaccountedTime=0.806157, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
SavePackageTransactionIdF631F967476F3DCEDD5CCC8B117C422D_10, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Saved/Autosaves/Game/Maps/FirstLevel_Auto2.umap, AutoPackageBackupDelegate=4.325256, FlushAsyncLoading=0.012018, FlushStreamingFunc=0.056490, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=41.771557, TagPackageExports=1.126461, BeginCacheForCookedPlatformData=0.001803, SerializeImports=1.566045, GatherLocalizableTextData=6.149106, MarkNames=0.060998, SerializeSummary=0.012018, SerializeNames=0.303473, SerializeGatherableTextData=0.059795, BuildExportMap=0.221744, SortExportsNonSeekfree=0.203118, SortExportsSeekfreeConstructor=0.047173, SortExportsSeekfreeInner=7.703136, SortExportsSeekfree=0.004206, BuildDependencyMap=0.065804, SerializeImportMap=0.023138, SerializeExportMap=0.019830, SerializeDependencyMap=0.004508, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.610855, SerializeExports=2.632715, SerializeBulkData=0.736449, MoveFile=3.652807, UnaccountedTime=0.135511, RunGuid=RunID4C1C22E543135A66C6B15A8F56EB8B87
