CookerStat, GenerateAssetRegistry=0.016935, Initialize=0.094935, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_0, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/Meteorite.uasset, AutoPackageBackupDelegate=4.904378, FlushAsyncLoading=0.005901, FlushStreamingFunc=0.095963, BlockTillAllRequestsFinished=0.004876, ResetLoadersForSaveUnMarkAllObjects=0.195518, TagPackageExports=1.135651, BeginCacheForCookedPlatformData=0.001281, SerializeImports=1.644716, GatherLocalizableTextData=1.182858, MarkNames=0.017449, SerializeSummary=0.017960, SerializeNames=0.104431, SerializeGatherableTextData=0.006415, BuildExportMap=0.052601, SortExportsNonSeekfree=0.089806, SortExportsSeekfreeConstructor=0.049520, SortExportsSeekfreeInner=2.749059, SortExportsSeekfree=0.015907, BuildDependencyMap=0.030790, SerializeImportMap=0.008468, SerializeExportMap=0.009496, SerializeDependencyMap=0.002820, SerializeStringAssetReferenceMap=0.001796, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.772669, SerializeExports=1.485374, SerializeBulkData=0.013854, MoveFile=1.112040, UnaccountedTime=0.813633, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_1, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/Meteorite.uasset, AutoPackageBackupDelegate=2.363410, FlushAsyncLoading=0.002053, FlushStreamingFunc=0.033870, BlockTillAllRequestsFinished=0.002824, ResetLoadersForSaveUnMarkAllObjects=0.093140, TagPackageExports=0.987083, BeginCacheForCookedPlatformData=0.001539, SerializeImports=1.548242, GatherLocalizableTextData=1.153093, MarkNames=0.014372, SerializeSummary=0.007182, SerializeNames=0.070818, SerializeGatherableTextData=0.005644, BuildExportMap=0.049524, SortExportsNonSeekfree=0.087239, SortExportsSeekfreeConstructor=0.039514, SortExportsSeekfreeInner=3.419004, SortExportsSeekfree=0.002310, BuildDependencyMap=0.016678, SerializeImportMap=0.005901, SerializeExportMap=0.010010, SerializeDependencyMap=0.002824, SerializeStringAssetReferenceMap=0.001539, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.473914, SerializeExports=1.811497, SerializeBulkData=0.003591, MoveFile=0.941154, UnaccountedTime=0.087496, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_2, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/Meteorite.uasset, AutoPackageBackupDelegate=4.580054, FlushAsyncLoading=0.003848, FlushStreamingFunc=0.032585, BlockTillAllRequestsFinished=0.003595, ResetLoadersForSaveUnMarkAllObjects=0.106480, TagPackageExports=2.797041, BeginCacheForCookedPlatformData=0.003081, SerializeImports=3.456723, GatherLocalizableTextData=2.501454, MarkNames=0.021551, SerializeSummary=0.009753, SerializeNames=0.101350, SerializeGatherableTextData=0.109561, BuildExportMap=0.084162, SortExportsNonSeekfree=0.343826, SortExportsSeekfreeConstructor=0.039771, SortExportsSeekfreeInner=4.376583, SortExportsSeekfree=0.002563, BuildDependencyMap=0.029765, SerializeImportMap=0.006929, SerializeExportMap=0.019241, SerializeDependencyMap=0.003591, SerializeStringAssetReferenceMap=0.001542, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.947400, SerializeExports=3.579628, SerializeBulkData=0.003848, MoveFile=1.214165, UnaccountedTime=0.846475, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_3, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/Meteorite.uasset, AutoPackageBackupDelegate=2.418578, FlushAsyncLoading=0.001796, FlushStreamingFunc=0.082623, BlockTillAllRequestsFinished=0.003848, ResetLoadersForSaveUnMarkAllObjects=0.098784, TagPackageExports=2.455529, BeginCacheForCookedPlatformData=0.001539, SerializeImports=3.139839, GatherLocalizableTextData=2.509151, MarkNames=0.021812, SerializeSummary=0.007953, SerializeNames=0.087239, SerializeGatherableTextData=0.084162, BuildExportMap=0.081848, SortExportsNonSeekfree=0.341773, SortExportsSeekfreeConstructor=0.005644, SortExportsSeekfreeInner=4.083048, SortExportsSeekfree=0.002310, BuildDependencyMap=0.028994, SerializeImportMap=0.006929, SerializeExportMap=0.018988, SerializeDependencyMap=0.004105, SerializeStringAssetReferenceMap=0.001539, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.453133, SerializeExports=3.495980, SerializeBulkData=0.003077, MoveFile=1.455866, UnaccountedTime=0.109818, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_4, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/MeteoriteHandler.uasset, AutoPackageBackupDelegate=0.067227, FlushAsyncLoading=0.002310, FlushStreamingFunc=0.042591, BlockTillAllRequestsFinished=0.004619, ResetLoadersForSaveUnMarkAllObjects=0.150360, TagPackageExports=4.835360, BeginCacheForCookedPlatformData=0.002053, SerializeImports=5.583562, GatherLocalizableTextData=3.430296, MarkNames=0.026941, SerializeSummary=0.008721, SerializeNames=0.172429, SerializeGatherableTextData=0.055164, BuildExportMap=0.106227, SortExportsNonSeekfree=0.565514, SortExportsSeekfreeConstructor=0.040799, SortExportsSeekfreeInner=5.621791, SortExportsSeekfree=0.002310, BuildDependencyMap=0.042081, SerializeImportMap=0.008982, SerializeExportMap=0.026427, SerializeDependencyMap=0.007953, SerializeStringAssetReferenceMap=0.001539, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.675846, SerializeExports=6.496240, SerializeBulkData=0.005130, MoveFile=1.070991, UnaccountedTime=0.819277, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_5, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/MeteoriteHandler.uasset, AutoPackageBackupDelegate=3.351782, FlushAsyncLoading=0.003848, FlushStreamingFunc=0.041310, BlockTillAllRequestsFinished=0.005390, ResetLoadersForSaveUnMarkAllObjects=0.111099, TagPackageExports=4.455611, BeginCacheForCookedPlatformData=0.001539, SerializeImports=5.460143, GatherLocalizableTextData=3.555253, MarkNames=0.033870, SerializeSummary=0.031814, SerializeNames=0.211429, SerializeGatherableTextData=0.058759, BuildExportMap=0.110075, SortExportsNonSeekfree=0.531387, SortExportsSeekfreeConstructor=0.043362, SortExportsSeekfreeInner=6.007444, SortExportsSeekfree=0.002820, BuildDependencyMap=0.085700, SerializeImportMap=0.008468, SerializeExportMap=0.024635, SerializeDependencyMap=0.008468, SerializeStringAssetReferenceMap=0.001539, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.550121, SerializeExports=6.402328, SerializeBulkData=0.004359, MoveFile=1.203127, UnaccountedTime=0.922941, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_6, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/Meteorite.uasset, AutoPackageBackupDelegate=3.305852, FlushAsyncLoading=0.003848, FlushStreamingFunc=0.042591, BlockTillAllRequestsFinished=0.003852, ResetLoadersForSaveUnMarkAllObjects=0.104941, TagPackageExports=2.766762, BeginCacheForCookedPlatformData=0.001539, SerializeImports=3.690731, GatherLocalizableTextData=2.742901, MarkNames=0.022322, SerializeSummary=0.009753, SerializeNames=0.089291, SerializeGatherableTextData=0.105456, BuildExportMap=0.094168, SortExportsNonSeekfree=0.396680, SortExportsSeekfreeConstructor=0.040796, SortExportsSeekfreeInner=4.783016, SortExportsSeekfree=0.014111, BuildDependencyMap=0.058502, SerializeImportMap=0.007957, SerializeExportMap=0.021294, SerializeDependencyMap=0.003848, SerializeStringAssetReferenceMap=0.001539, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.171402, SerializeExports=4.184913, SerializeBulkData=0.004616, MoveFile=1.209289, UnaccountedTime=0.870854, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_7, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/MeteoriteHandler.uasset, AutoPackageBackupDelegate=3.553200, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.060041, BlockTillAllRequestsFinished=0.005644, ResetLoadersForSaveUnMarkAllObjects=0.113409, TagPackageExports=5.440902, BeginCacheForCookedPlatformData=0.001796, SerializeImports=6.128550, GatherLocalizableTextData=3.800549, MarkNames=0.035152, SerializeSummary=0.009492, SerializeNames=0.188850, SerializeGatherableTextData=0.064660, BuildExportMap=0.103403, SortExportsNonSeekfree=0.739992, SortExportsSeekfreeConstructor=0.043876, SortExportsSeekfreeInner=6.569877, SortExportsSeekfree=0.002567, BuildDependencyMap=0.048239, SerializeImportMap=0.008725, SerializeExportMap=0.025913, SerializeDependencyMap=0.014879, SerializeStringAssetReferenceMap=0.001542, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.600666, SerializeExports=6.672256, SerializeBulkData=0.004105, MoveFile=1.162849, UnaccountedTime=0.854172, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_8, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/MeteoriteHandler.uasset, AutoPackageBackupDelegate=2.597675, FlushAsyncLoading=0.001796, FlushStreamingFunc=0.076976, BlockTillAllRequestsFinished=0.002310, ResetLoadersForSaveUnMarkAllObjects=0.089034, TagPackageExports=5.051147, BeginCacheForCookedPlatformData=0.001539, SerializeImports=6.143432, GatherLocalizableTextData=3.776170, MarkNames=0.028741, SerializeSummary=0.008211, SerializeNames=0.180122, SerializeGatherableTextData=0.058759, BuildExportMap=0.104431, SortExportsNonSeekfree=0.593226, SortExportsSeekfreeConstructor=0.038743, SortExportsSeekfreeInner=6.381288, SortExportsSeekfree=0.002563, BuildDependencyMap=0.046700, SerializeImportMap=0.008211, SerializeExportMap=0.027712, SerializeDependencyMap=0.005387, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.643775, SerializeExports=6.720494, SerializeBulkData=0.003848, MoveFile=76.497955, UnaccountedTime=3.627095, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_9, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Saved/Autosaves/Game/Maps/FirstLevel_Auto1.umap, AutoPackageBackupDelegate=4.027370, FlushAsyncLoading=0.005387, FlushStreamingFunc=0.046700, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=42.072361, TagPackageExports=1.003507, BeginCacheForCookedPlatformData=0.001539, SerializeImports=2.000600, GatherLocalizableTextData=5.022924, MarkNames=0.033353, SerializeSummary=0.010520, SerializeNames=0.326633, SerializeGatherableTextData=0.030536, BuildExportMap=0.197057, SortExportsNonSeekfree=0.178326, SortExportsSeekfreeConstructor=0.038490, SortExportsSeekfreeInner=7.137701, SortExportsSeekfree=0.003338, BuildDependencyMap=0.049520, SerializeImportMap=0.039000, SerializeExportMap=0.027198, SerializeDependencyMap=0.013087, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.582449, SerializeExports=2.333134, SerializeBulkData=1.031987, MoveFile=22.917212, UnaccountedTime=0.141121, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
SavePackageTransactionIdFBD912BB4D79DB0728C2AE82A9ABC656_10, Filename=../../../../../../Users/jglavich/Documents/Project_PlanetDefence/Project_PlanetDef/Content/Maps/FirstLevel.umap, AutoPackageBackupDelegate=2.598189, FlushAsyncLoading=0.002053, FlushStreamingFunc=0.123158, BlockTillAllRequestsFinished=0.003595, ResetLoadersForSaveUnMarkAllObjects=42.349987, TagPackageExports=0.994012, BeginCacheForCookedPlatformData=0.001281, SerializeImports=1.902841, GatherLocalizableTextData=5.026258, MarkNames=0.034381, SerializeSummary=0.009239, SerializeNames=0.281986, SerializeGatherableTextData=0.029508, BuildExportMap=0.265822, SortExportsNonSeekfree=0.178840, SortExportsSeekfreeConstructor=0.038490, SortExportsSeekfreeInner=6.921657, SortExportsSeekfree=0.002310, BuildDependencyMap=0.046443, SerializeImportMap=0.016935, SerializeExportMap=0.017192, SerializeDependencyMap=0.004105, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.589121, SerializeExports=2.381630, SerializeBulkData=0.863153, MoveFile=1.353230, UnaccountedTime=0.805680, RunGuid=RunIDCF4187D1473AACB3152F5AA69FC75C22
