CookerStat, GenerateAssetRegistry=0.018328, Initialize=0.094946, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_0, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/LeftTurret.uasset, AutoPackageBackupDelegate=12.642253, FlushAsyncLoading=0.009913, FlushStreamingFunc=0.037558, BlockTillAllRequestsFinished=0.004210, ResetLoadersForSaveUnMarkAllObjects=0.201315, TagPackageExports=9.458479, BeginCacheForCookedPlatformData=0.004206, SerializeImports=10.195829, GatherLocalizableTextData=8.176677, MarkNames=0.128902, SerializeSummary=0.018630, SerializeNames=0.262309, SerializeGatherableTextData=0.054386, BuildExportMap=0.205819, SortExportsNonSeekfree=1.509562, SortExportsSeekfreeConstructor=0.085931, SortExportsSeekfreeInner=12.265164, SortExportsSeekfree=0.006009, BuildDependencyMap=0.109073, SerializeImportMap=0.018328, SerializeExportMap=0.057690, SerializeDependencyMap=0.013221, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.721465, SerializeExports=12.842364, SerializeBulkData=0.019833, MoveFile=3.703587, UnaccountedTime=1.002066, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_1, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=13.735965, FlushAsyncLoading=0.009615, FlushStreamingFunc=0.026442, BlockTillAllRequestsFinished=0.003904, ResetLoadersForSaveUnMarkAllObjects=0.134610, TagPackageExports=4.522067, BeginCacheForCookedPlatformData=0.003304, SerializeImports=5.032264, GatherLocalizableTextData=4.253145, MarkNames=0.047773, SerializeSummary=0.014424, SerializeNames=0.116583, SerializeGatherableTextData=0.117783, BuildExportMap=0.115681, SortExportsNonSeekfree=0.585012, SortExportsSeekfreeConstructor=0.057992, SortExportsSeekfreeInner=7.626817, SortExportsSeekfree=0.005711, BuildDependencyMap=0.048675, SerializeImportMap=0.012320, SerializeExportMap=0.025239, SerializeDependencyMap=0.004806, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.206760, SerializeExports=5.710721, SerializeBulkData=0.007514, MoveFile=3.547341, UnaccountedTime=0.977728, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_2, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=10.897428, FlushAsyncLoading=0.005405, FlushStreamingFunc=0.024639, BlockTillAllRequestsFinished=0.003006, ResetLoadersForSaveUnMarkAllObjects=0.143323, TagPackageExports=5.496789, BeginCacheForCookedPlatformData=0.003006, SerializeImports=5.090255, GatherLocalizableTextData=3.956281, MarkNames=0.063397, SerializeSummary=0.014424, SerializeNames=0.221748, SerializeGatherableTextData=0.037257, BuildExportMap=0.118386, SortExportsNonSeekfree=0.466630, SortExportsSeekfreeConstructor=0.051379, SortExportsSeekfreeInner=6.914403, SortExportsSeekfree=0.004508, BuildDependencyMap=0.054684, SerializeImportMap=0.010818, SerializeExportMap=0.027042, SerializeDependencyMap=0.006311, SerializeStringAssetReferenceMap=0.000902, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.169202, SerializeExports=6.086610, SerializeBulkData=0.005707, MoveFile=3.497765, UnaccountedTime=0.908621, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_3, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=9.564843, FlushAsyncLoading=0.004809, FlushStreamingFunc=0.038460, BlockTillAllRequestsFinished=0.004806, ResetLoadersForSaveUnMarkAllObjects=0.117186, TagPackageExports=4.247736, BeginCacheForCookedPlatformData=0.002705, SerializeImports=5.011529, GatherLocalizableTextData=3.813561, MarkNames=0.036053, SerializeSummary=0.010516, SerializeNames=0.204321, SerializeGatherableTextData=0.043266, BuildExportMap=0.124697, SortExportsNonSeekfree=0.448599, SortExportsSeekfreeConstructor=0.041466, SortExportsSeekfreeInner=6.697163, SortExportsSeekfree=0.004809, BuildDependencyMap=0.051379, SerializeImportMap=0.015322, SerializeExportMap=0.029445, SerializeDependencyMap=0.006311, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.199250, SerializeExports=6.128676, SerializeBulkData=0.007812, MoveFile=3.872454, UnaccountedTime=1.028504, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_4, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=9.649877, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.034854, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.116583, TagPackageExports=4.034404, BeginCacheForCookedPlatformData=0.003904, SerializeImports=4.414499, GatherLocalizableTextData=3.915418, MarkNames=0.042364, SerializeSummary=0.010516, SerializeNames=0.187494, SerializeGatherableTextData=0.038158, BuildExportMap=0.118986, SortExportsNonSeekfree=0.401430, SortExportsSeekfreeConstructor=0.045370, SortExportsSeekfreeInner=6.367549, SortExportsSeekfree=0.004206, BuildDependencyMap=0.046574, SerializeImportMap=0.012018, SerializeExportMap=0.035755, SerializeDependencyMap=0.030950, SerializeStringAssetReferenceMap=0.002105, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.131942, SerializeExports=6.007586, SerializeBulkData=0.006612, MoveFile=4.080076, UnaccountedTime=0.916131, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_5, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=10.086458, FlushAsyncLoading=0.005711, FlushStreamingFunc=0.033349, BlockTillAllRequestsFinished=0.003006, ResetLoadersForSaveUnMarkAllObjects=0.147831, TagPackageExports=4.505239, BeginCacheForCookedPlatformData=0.002705, SerializeImports=5.019642, GatherLocalizableTextData=3.971606, MarkNames=0.037860, SerializeSummary=0.012018, SerializeNames=0.202816, SerializeGatherableTextData=0.040263, BuildExportMap=0.122294, SortExportsNonSeekfree=0.434179, SortExportsSeekfreeConstructor=0.040863, SortExportsSeekfreeInner=7.109106, SortExportsSeekfree=0.005111, BuildDependencyMap=0.052281, SerializeImportMap=0.011418, SerializeExportMap=0.027642, SerializeDependencyMap=0.007212, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.328149, SerializeExports=6.024714, SerializeBulkData=0.006311, MoveFile=3.666930, UnaccountedTime=0.954293, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_6, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=11.286233, FlushAsyncLoading=0.005409, FlushStreamingFunc=0.039663, BlockTillAllRequestsFinished=0.003304, ResetLoadersForSaveUnMarkAllObjects=0.149935, TagPackageExports=4.806910, BeginCacheForCookedPlatformData=0.003003, SerializeImports=5.378705, GatherLocalizableTextData=4.107118, MarkNames=0.038162, SerializeSummary=0.009913, SerializeNames=0.193205, SerializeGatherableTextData=0.039361, BuildExportMap=0.131603, SortExportsNonSeekfree=0.502687, SortExportsSeekfreeConstructor=0.054684, SortExportsSeekfreeInner=7.238012, SortExportsSeekfree=0.005405, BuildDependencyMap=0.058893, SerializeImportMap=0.014722, SerializeExportMap=0.034254, SerializeDependencyMap=0.006612, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.186931, SerializeExports=6.415322, SerializeBulkData=0.007812, MoveFile=3.552150, UnaccountedTime=0.978630, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_7, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/LeftTurret.uasset, AutoPackageBackupDelegate=12.909371, FlushAsyncLoading=0.009615, FlushStreamingFunc=0.051681, BlockTillAllRequestsFinished=0.005405, ResetLoadersForSaveUnMarkAllObjects=0.162255, TagPackageExports=9.177238, BeginCacheForCookedPlatformData=0.003606, SerializeImports=25.599401, GatherLocalizableTextData=8.176375, MarkNames=0.115979, SerializeSummary=0.015024, SerializeNames=0.280637, SerializeGatherableTextData=0.071514, BuildExportMap=0.210326, SortExportsNonSeekfree=1.564845, SortExportsSeekfreeConstructor=0.008114, SortExportsSeekfreeInner=11.721313, SortExportsSeekfree=0.005711, BuildDependencyMap=0.103362, SerializeImportMap=0.016525, SerializeExportMap=0.057388, SerializeDependencyMap=0.014123, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.257166, SerializeExports=12.690026, SerializeBulkData=0.009015, MoveFile=4.093896, UnaccountedTime=0.981934, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_8, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/LeftTurret.uasset, AutoPackageBackupDelegate=9.186852, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.035454, BlockTillAllRequestsFinished=0.005409, ResetLoadersForSaveUnMarkAllObjects=0.116281, TagPackageExports=9.807024, BeginCacheForCookedPlatformData=0.003904, SerializeImports=11.067193, GatherLocalizableTextData=8.646309, MarkNames=0.088338, SerializeSummary=0.012022, SerializeNames=0.249688, SerializeGatherableTextData=0.054386, BuildExportMap=0.257805, SortExportsNonSeekfree=1.582570, SortExportsSeekfreeConstructor=0.049580, SortExportsSeekfreeInner=12.559924, SortExportsSeekfree=0.004806, BuildDependencyMap=0.105765, SerializeImportMap=0.018928, SerializeExportMap=0.058595, SerializeDependencyMap=0.013519, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.811304, SerializeExports=13.497688, SerializeBulkData=0.010818, MoveFile=3.830384, UnaccountedTime=0.993952, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_9, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=13.460733, FlushAsyncLoading=0.010215, FlushStreamingFunc=0.041164, BlockTillAllRequestsFinished=0.006311, ResetLoadersForSaveUnMarkAllObjects=0.141520, TagPackageExports=4.624527, BeginCacheForCookedPlatformData=0.003304, SerializeImports=5.100772, GatherLocalizableTextData=4.149482, MarkNames=0.041164, SerializeSummary=0.010818, SerializeNames=0.198308, SerializeGatherableTextData=0.043269, BuildExportMap=0.128601, SortExportsNonSeekfree=0.437781, SortExportsSeekfreeConstructor=0.044171, SortExportsSeekfreeInner=7.366311, SortExportsSeekfree=0.004206, BuildDependencyMap=0.054684, SerializeImportMap=0.011720, SerializeExportMap=0.031248, SerializeDependencyMap=0.005409, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.310722, SerializeExports=6.335098, SerializeBulkData=0.006612, MoveFile=3.488749, UnaccountedTime=1.027007, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_10, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=9.226818, FlushAsyncLoading=0.004806, FlushStreamingFunc=0.032451, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.110574, TagPackageExports=4.666895, BeginCacheForCookedPlatformData=0.003606, SerializeImports=5.011227, GatherLocalizableTextData=4.145577, MarkNames=0.041768, SerializeSummary=0.010215, SerializeNames=0.198912, SerializeGatherableTextData=0.043869, BuildExportMap=0.119284, SortExportsNonSeekfree=0.430573, SortExportsSeekfreeConstructor=0.043869, SortExportsSeekfreeInner=7.094387, SortExportsSeekfree=0.005107, BuildDependencyMap=0.054386, SerializeImportMap=0.011418, SerializeExportMap=0.031248, SerializeDependencyMap=0.005111, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.902308, SerializeExports=7.023778, SerializeBulkData=0.006609, MoveFile=3.641091, UnaccountedTime=0.136413, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
