CookerStat, GenerateAssetRegistry=0.021733, Initialize=0.105046, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_0, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=26.404970, FlushAsyncLoading=0.015698, FlushStreamingFunc=0.024751, BlockTillAllRequestsFinished=0.003926, ResetLoadersForSaveUnMarkAllObjects=0.174470, TagPackageExports=11.320126, BeginCacheForCookedPlatformData=0.003017, SerializeImports=13.164755, GatherLocalizableTextData=13.819173, MarkNames=0.077575, SerializeSummary=0.015091, SerializeNames=0.252049, SerializeGatherableTextData=0.135534, BuildExportMap=0.210993, SortExportsNonSeekfree=1.857612, SortExportsSeekfreeConstructor=0.059161, SortExportsSeekfreeInner=15.266866, SortExportsSeekfree=0.007242, BuildDependencyMap=0.128288, SerializeImportMap=0.015996, SerializeExportMap=0.109874, SerializeDependencyMap=0.018414, SerializeStringAssetReferenceMap=0.002414, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.428063, SerializeExports=18.069878, SerializeBulkData=0.014491, MoveFile=1.284994, UnaccountedTime=1.100559, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_1, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Maps/FirstLevel.umap, AutoPackageBackupDelegate=26.847187, FlushAsyncLoading=0.006039, FlushStreamingFunc=0.055842, BlockTillAllRequestsFinished=0.006039, ResetLoadersForSaveUnMarkAllObjects=50.337456, TagPackageExports=1.578394, BeginCacheForCookedPlatformData=0.002112, SerializeImports=2.811767, GatherLocalizableTextData=8.413274, MarkNames=0.047691, SerializeSummary=0.012677, SerializeNames=0.406902, SerializeGatherableTextData=0.027165, BuildExportMap=0.275895, SortExportsNonSeekfree=0.252955, SortExportsSeekfreeConstructor=0.045881, SortExportsSeekfreeInner=26.334641, SortExportsSeekfree=0.003621, BuildDependencyMap=0.066407, SerializeImportMap=0.028070, SerializeExportMap=0.029281, SerializeDependencyMap=0.006340, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.864509, SerializeExports=4.060239, SerializeBulkData=1.869079, MoveFile=1.172099, UnaccountedTime=1.002457, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_2, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Maps/FirstLevel.umap, AutoPackageBackupDelegate=25.776207, FlushAsyncLoading=0.003625, FlushStreamingFunc=0.060972, BlockTillAllRequestsFinished=0.003926, ResetLoadersForSaveUnMarkAllObjects=50.167812, TagPackageExports=1.617935, BeginCacheForCookedPlatformData=0.002418, SerializeImports=2.671707, GatherLocalizableTextData=8.463078, MarkNames=0.048902, SerializeSummary=0.012375, SerializeNames=0.402674, SerializeGatherableTextData=0.027467, BuildExportMap=0.325400, SortExportsNonSeekfree=0.261102, SortExportsSeekfreeConstructor=0.047695, SortExportsSeekfreeInner=15.120465, SortExportsSeekfree=0.003319, BuildDependencyMap=0.064898, SerializeImportMap=0.026863, SerializeExportMap=0.028677, SerializeDependencyMap=0.006340, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.778481, SerializeExports=4.034881, SerializeBulkData=1.012117, MoveFile=15.905589, UnaccountedTime=0.153642, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
DDCTransactionIdF559EEF943B684F1F5508DA2AB027D32_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_2459D816446320AED__063DB522F9FA49CC2411AA5E4632482F04020963, StartTime=2016.07.14-10.35.20, HierarchicalDDC=, DataSize=2541, Duration=1.746226, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_3, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/CombinedRGB2.uasset, AutoPackageBackupDelegate=0.099912, FlushAsyncLoading=0.003625, FlushStreamingFunc=0.096895, BlockTillAllRequestsFinished=0.005733, ResetLoadersForSaveUnMarkAllObjects=0.146098, TagPackageExports=0.023242, BeginCacheForCookedPlatformData=0.000905, SerializeImports=0.733204, GatherLocalizableTextData=0.054032, MarkNames=0.003923, SerializeSummary=0.009358, SerializeNames=0.020526, SerializeGatherableTextData=0.001207, BuildExportMap=0.012677, SortExportsNonSeekfree=0.005133, SortExportsSeekfreeConstructor=0.054937, SortExportsSeekfreeInner=0.118326, SortExportsSeekfree=0.002414, BuildDependencyMap=0.005737, SerializeImportMap=0.010263, SerializeExportMap=0.005435, SerializeDependencyMap=0.000905, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.624486, SerializeExports=0.107158, SerializeBulkData=17.306793, MoveFile=0.915822, UnaccountedTime=1.015138, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_4, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/CombinedRGB.uasset, AutoPackageBackupDelegate=0.083916, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.041053, BlockTillAllRequestsFinished=0.003923, ResetLoadersForSaveUnMarkAllObjects=0.113498, TagPackageExports=0.025056, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.640534, GatherLocalizableTextData=0.051316, MarkNames=0.003621, SerializeSummary=0.008754, SerializeNames=0.019621, SerializeGatherableTextData=0.000905, BuildExportMap=0.012074, SortExportsNonSeekfree=0.005130, SortExportsSeekfreeConstructor=0.007547, SortExportsSeekfreeInner=0.123158, SortExportsSeekfree=0.002112, BuildDependencyMap=0.005733, SerializeImportMap=0.010561, SerializeExportMap=0.005133, SerializeDependencyMap=0.000905, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.647728, SerializeExports=0.120439, SerializeBulkData=17.074068, MoveFile=1.092106, UnaccountedTime=1.079127, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_5, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/shiz/shield_mat.uasset, AutoPackageBackupDelegate=26.205145, FlushAsyncLoading=0.005733, FlushStreamingFunc=0.090256, BlockTillAllRequestsFinished=0.013884, ResetLoadersForSaveUnMarkAllObjects=0.323284, TagPackageExports=0.156060, BeginCacheForCookedPlatformData=0.001810, SerializeImports=0.892583, GatherLocalizableTextData=1.110520, MarkNames=0.012375, SerializeSummary=0.009056, SerializeNames=0.054635, SerializeGatherableTextData=0.067614, BuildExportMap=0.049204, SortExportsNonSeekfree=0.076670, SortExportsSeekfreeConstructor=0.053126, SortExportsSeekfreeInner=0.692453, SortExportsSeekfree=0.002716, BuildDependencyMap=0.016302, SerializeImportMap=0.006940, SerializeExportMap=0.009358, SerializeDependencyMap=0.003621, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.534014, SerializeExports=1.119878, SerializeBulkData=0.004530, MoveFile=0.999138, UnaccountedTime=0.106554, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_6, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/meteor_mat.uasset, AutoPackageBackupDelegate=0.082105, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.127081, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=0.150625, TagPackageExports=0.076067, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.733506, GatherLocalizableTextData=0.553299, MarkNames=0.009354, SerializeSummary=0.009056, SerializeNames=0.054635, SerializeGatherableTextData=0.008754, BuildExportMap=0.038035, SortExportsNonSeekfree=0.026260, SortExportsSeekfreeConstructor=0.007246, SortExportsSeekfreeInner=0.563260, SortExportsSeekfree=0.002716, BuildDependencyMap=0.009961, SerializeImportMap=0.006642, SerializeExportMap=0.006638, SerializeDependencyMap=0.001512, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.581145, SerializeExports=0.521302, SerializeBulkData=0.004224, MoveFile=0.823155, UnaccountedTime=1.113843, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_7, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/meteor_tex.uasset, AutoPackageBackupDelegate=0.082102, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.072140, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.184130, TagPackageExports=0.025358, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.645060, GatherLocalizableTextData=0.050411, MarkNames=0.003923, SerializeSummary=0.008453, SerializeNames=0.023544, SerializeGatherableTextData=0.001207, BuildExportMap=0.011470, SortExportsNonSeekfree=0.005133, SortExportsSeekfreeConstructor=0.052825, SortExportsSeekfreeInner=0.110175, SortExportsSeekfree=0.002112, BuildDependencyMap=0.005435, SerializeImportMap=0.013582, SerializeExportMap=0.005435, SerializeDependencyMap=0.001211, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.782396, SerializeExports=0.110779, SerializeBulkData=40.151398, MoveFile=1.039281, UnaccountedTime=0.923976, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_8, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/Round_Marble_By_mavrosh.uasset, AutoPackageBackupDelegate=0.082709, FlushAsyncLoading=0.003621, FlushStreamingFunc=0.107158, BlockTillAllRequestsFinished=0.004832, ResetLoadersForSaveUnMarkAllObjects=0.128590, TagPackageExports=0.024751, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.616085, GatherLocalizableTextData=0.051618, MarkNames=0.003923, SerializeSummary=0.008151, SerializeNames=0.023544, SerializeGatherableTextData=0.000905, BuildExportMap=0.012074, SortExportsNonSeekfree=0.005133, SortExportsSeekfreeConstructor=0.007547, SortExportsSeekfreeInner=0.121042, SortExportsSeekfree=0.002414, BuildDependencyMap=0.005435, SerializeImportMap=0.013884, SerializeExportMap=0.005733, SerializeDependencyMap=0.000905, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.161526, SerializeExports=0.113197, SerializeBulkData=122.250832, MoveFile=0.997629, UnaccountedTime=0.975590, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_9, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/shield_mat.uasset, AutoPackageBackupDelegate=0.080898, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.021432, BlockTillAllRequestsFinished=0.002716, ResetLoadersForSaveUnMarkAllObjects=0.119839, TagPackageExports=0.166021, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.809874, GatherLocalizableTextData=1.105391, MarkNames=0.011772, SerializeSummary=0.009052, SerializeNames=0.054035, SerializeGatherableTextData=0.071235, BuildExportMap=0.049505, SortExportsNonSeekfree=0.081498, SortExportsSeekfreeConstructor=0.007246, SortExportsSeekfreeInner=0.693660, SortExportsSeekfree=0.002716, BuildDependencyMap=0.024755, SerializeImportMap=0.006340, SerializeExportMap=0.009056, SerializeDependencyMap=0.003323, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.573856, SerializeExports=1.107805, SerializeBulkData=0.004224, MoveFile=0.854246, UnaccountedTime=0.970460, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
